title,year,genre,plot,runtime (minutes),RT rating (%),imdb rating
Beauty and the Beast,1991,"Animation, Family, Fantasy","To save her father, a girl who always puts others before herself promises to live her life in a lavish castle with a strange beast.",84,95,8
Anatomy of a Murder,1959,"Drama, Mystery",An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth and will he win his case?,161,100,8
"Monsters, Inc.",2001,"Animation, Adventure, Comedy","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",92,96,8.1
Eighth Grade,2018,"Comedy, Drama",An introverted teenage girl tries to survive the last week of her disastrous eighth grade year before leaving to start high school.,93,99,7.4
12 Years a Slave,2013,"Biography, Drama, History","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",134,95,8.1
Pan's Labyrinth,2006,"Drama, Fantasy, War","In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks.",118,95,8.2
The Lady Eve,1941,"Comedy, Romance","A trio of classy card sharks targets a socially awkward brewery heir, until one of them falls in love with him.",94,99,7.7
Hunt for the Wilderpeople,2016,"Adventure, Comedy, Drama",A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,101,97,7.8
007: Goldfinger,1964,"Spy, Adventure, Action, Triller","While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",110,99,7.7
Lady Bird,2017,"Comedy, Drama","A fiercely independent teenager tries to make her own way in the world while wanting to get out of her hometown of Sacramento, California, and to get away from her complicated mother and recently-unemployed father.",94,99,7.4
Persepolis,2007,"Animation, Biography, Drama",A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,96,96,8
Star Trek,2009,"Action, Adventure, Sci-Fi",The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,127,94,7.9
Hell or High Water,2016,"Crime, Drama, Thriller","Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch.",102,97,7.6
Memento,2000,"Mystery, Thriller",A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,113,94,8.4
Catch Me if You Can,2002,"Biography, Crime, Drama","Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",141,96,8.1
