title,year,RT rating,plot,genre,runtime,imdb_rating
Brooklyn,2015,97%,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.","Drama, Romance",117 min,7.5
Saving Private Ryan,1998,94%,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.","Drama, War",169 min,8.6
The Lavender Hill Mob,1951,100%,A meek bank clerk who oversees the shipment of bullion joins with an eccentric neighbor to steal gold bars and smuggle them out of the country as miniature Eiffel Towers.,"Comedy, Crime",78 min,7.5
Raiders of the Lost Ark,1981,94%,"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first.","Action, Adventure",115 min,8.4
WALL-E,2008,95%,"After the death of her husband, Tabatha- a young, tattooed, rebellious horse trainer- wrestles with financial insecurity and unresolved grief while providing refuge for a group of wayward teenagers on her broken-down ranch in the Badlands.","Animation, Adventure, Family",98 min,8.4
I Am Cuba,1964,100%,Four vignettes about the lives of the Cuban people set during the pre-revolutionary era.,Drama,141 min,8.2
Maria Full of Grace,2004,97%,A pregnant Colombian teenager becomes a drug mule to make some desperately-needed money for her family.,"Crime, Drama",101 min,7.4
Ali: Fear Eats the Soul,1974,100%,"A lonely widow meets a much younger Moroccan worker in a bar during a rainstorm. They fall in love, to their own surprise and to the outright shock of their families, colleagues, and drinking buddies.","Drama, Romance",93 min,8.0
The Iron Giant,1999,96%,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Animation, Action, Adventure",86 min,8.1
The Passion of Joan of Arc,1928,98%,The Passion of Joan of Arc,"Biography, Drama, History",114 min,8.1
The King's Speech,2010,94%,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Biography, Drama, History",118 min,8.0
Spider-Man: No Way Home,2021,93%,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.","Action, Adventure, Fantasy",148 min,8.2
